Origin,Destination,Link,Link length (km),# spans,Avg span length (km),Span 1,Span 2,Span 3,Span 4,Span 5,Span 6,Remarks,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
N011,N042,N011-N042,142.8,3,47.6,41.9574468085106,60.7148936170213,40.12765957446808,0.0,0.0,0.0,,,,,
N011,N043,N011-N043,155.3,3,51.8,46.7142857142857,55.785714285714285,52.7857142857143,0.0,0.0,0.0,,,,Fibre Characteristics,
N012,N011,N012-N011,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,Fibre type,G.652.D
N012,N041,N012-N041,147.9,3,49.300000000000004,38.26783216783217,70.33006993006994,39.3020979020979,0.0,0.0,0.0,,,,Attenuation @ 1310 nm,0.34 dB/km
N012,N044,N012-N044,147.7,3,49.2,40.2820809248555,60.7387283236994,46.6624277456647,0.0,0.0,0.0,,,,Attenuation @ 1550 nm,0.20 dB/km
N022,N021,N022-N021,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Only to be used for HL3-HL3 traffic and optical restoration,,,Attenuation @ 1625 nm,0.22 dB/km
N022,N031,N022-N031,120.0,2,60.0,54.953271028037385,65.04672897196262,0.0,0.0,0.0,0.0,,,,CD @ 1550 nm,18 ps/(nm·km)
N031,N032,N031-N032,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Only to be used for HL3-HL3 traffic and optical restoration,,,PMD,0.1 ps/sqrt(km)
N032,N061,N032-N061,192.29999999999998,3,64.1,89.06526315789472,54.65368421052631,48.58105263157895,0.0,0.0,0.0,,,,,
N041,N043,N041-N043,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
N041,N130,N041-N130,108.5,2,54.25,60.27777777777778,48.22222222222222,0.0,0.0,0.0,0.0,,,,,
N042,N041,N042-N041,6.0,1,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,
N044,N042,N044-N042,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
N044,N043,N044-N043,9.0,1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,
N051,N042,N051-N042,216.9,4,54.225,60.53023255813954,46.23837209302326,35.3093023255814,74.82209302325582,0.0,0.0,,,,,
N052,N051,N052-N051,4.0,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Only to be used for HL3-HL3 traffic and optical restoration,,,,
N061,N021,N061-N021,105.0,2,52.5,64.0,41.0,0.0,0.0,0.0,0.0,,,,,
N061,N062,N061-N062,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Only to be used for HL3-HL3 traffic and optical restoration,,,,
N061,N071,N061-N071,101.4,2,50.7,42.74705882352941,58.65294117647059,0.0,0.0,0.0,0.0,,,,,
N061,N172,N061-N172,115.0,2,57.5,68.0,47.0,0.0,0.0,0.0,0.0,,,,,
N062,N022,N062-N022,103.5,2,51.75,62.472972972972975,41.027027027027025,0.0,0.0,0.0,0.0,,,,,
N062,N072,N062-N072,105.0,2,52.5,44.26470588235294,60.73529411764706,0.0,0.0,0.0,0.0,,,,,
N062,N171,N062-N171,246.5,4,61.625,69.02,59.16,59.16,59.16,0.0,0.0,,,,,
N071,N031,N071-N031,228.2,3,76.06666666666666,67.42272727272727,85.05636363636363,75.72090909090909,0.0,0.0,0.0,,,,,
N072,N032,N072-N032,177.5,3,59.166666666666664,35.910404624277454,51.30057803468208,90.28901734104046,0.0,0.0,0.0,,,,,
N072,N071,N072-N071,3.0,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,
