Unnamed: 0,N011_HL3,N012_HL3,N021_HL3,N022_HL3,N031_HL3,N032_HL3,N041_HL2,N041_HL3,N042_HL2,N042_HL3,N043_HL2,N043_HL3,N044_HL2,N044_HL3,N051_HL3,N052_HL3,N061_HL3,N062_HL3,N071_HL2,N071_HL3,N072_HL2,N072_HL3,N091_HL3,N092_HL3,N101_HL3,N102_HL3,N111_HL3,N112_HL3,N121_HL3,N122_HL3,N141_HL3,N142_HL3,N151_HL3,N152_HL3,N161_HL3,N162_HL3,N171_HL3,N172_HL3,N181_HL3,N182_HL3,N191_HL3,N192_HL3,N201_HL1,N201_HL2,N201_HL3,N202_HL3,N203_HL1,N203_HL2,N203_HL3,N204_HL1,N204_HL2,N204_HL3,N205_HL3,N206_HL2,N206_HL3,N207_HL3,N221_HL3,N222_HL3,N231_HL3,N232_HL3,N241_HL3,N242_HL3,N251_HL3,N252_HL3,N261_HL3,N262_HL3,N271_HL3,N272_HL3,N281_HL3,N282_HL3,N291_HL3,N292_HL3,N311_HL3,N312_HL3,N321_HL3,N322_HL3,N331_HL3,N332_HL3,N341_HL3,N342_HL3,N351_HL2,N351_HL3,N352_HL2,N352_HL3,N361_HL3,N362_HL3,N371_HL3,N372_HL3,N381_HL3,N382_HL3,N391_HL2,N391_HL3,N392_HL2,N392_HL3,N401_HL3,N402_HL3,N411_HL3,N412_HL3,N421_HL3,N422_HL3,N441_HL3,N442_HL3,N451_HL3,N452_HL3,N461_HL3,N462_HL3,N471_HL3,N472_HL1,N472_HL2,N472_HL3,N473_HL3,N474_HL1,N474_HL2,N474_HL3,N491_HL3,N492_HL3,N501_HL3,N502_HL3,N511_HL3,N512_HL3
N011_HL3,,638.1,,,,,,,255.24,,,,255.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N012_HL3,638.1,,,,,,,,255.24,,,,255.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N021_HL3,,,,412.99999999999994,,,,,,,,,,,,,,,165.2,,165.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N022_HL3,,,412.99999999999994,,,,,,,,,,,,,,,,165.2,,165.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N031_HL3,,,,,,731.0,,,,,,,,,,,,,292.40000000000003,,292.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N032_HL3,,,,,731.0,,,,,,,,,,,,,,292.40000000000003,,292.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N041_HL2,,,,,,,,1828.3999999999994,,,3909.6800000000003,831.2,3714.2000000000003,,,,,,,,,,,,,,,,,,332.44000000000005,332.44,,,,,,,,,124.75999999999999,124.75999999999999,1563.8720000000003,,,,,,,1563.8720000000003,5515.0599999999995,,,,,,,,,,167.84000000000003,167.84000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6319.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
N041_HL3,,,,,,,1828.3999999999994,,,,1828.3999999999994,3324.499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N042_HL2,255.24,255.24,,,,,,,,1828.3999999999996,3714.2000000000003,,3518.7200000000003,831.2000000000003,,,,,,,,,174.32000000000002,174.32000000000002,,,,,,,,,,,,,,,,,,,1407.4880000000003,,,,1407.4880000000003,,,,,,,4168.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N042_HL3,,,,,,,,,1828.3999999999996,,,,1828.3999999999996,3324.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
